application_type,case_received_date,decision_date,case_status,class_of_admission,employer_name,employer_city,employer_state,employer_country,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,foreign_worker_info_state,job_info_work_city,job_info_work_state
ONLINE,19-12-2014,08-07-2015,Certified,H-1B,"ThyssenKrupp Automotive Systems of America, LLC",Chattanooga,TENNESSEE,UNITED STATES OF AMERICA,MEXICO,OOLTEWAH,Bachelor's,TENNESSEE,Chattanooga,TENNESSEE
ONLINE,19-12-2014,08-07-2015,Certified,H-1B,"ThyssenKrupp Automotive Systems of America, LLC",Chattanooga,TENNESSEE,UNITED STATES OF AMERICA,MEXICO,CHATTANOOGA,Bachelor's,TENNESSEE,Chattanooga,TENNESSEE
ONLINE,05-01-2015,18-08-2015,Certified,B-2,Salwa Photography Co.,nyc,NEW YORK,UNITED STATES OF AMERICA,POLAND,GLENDALE,Bachelor's,NEW YORK,New York City,NEW YORK
ONLINE,08-01-2015,25-08-2015,Certified,,J.J. SUPPLY INC.,BOCA RATON,FLORIDA,UNITED STATES OF AMERICA,VENEZUELA,PARKLAND,Bachelor's,FLORIDA,Boca Raton,FLORIDA
ONLINE,23-01-2015,14-08-2015,Certified,H-1B,ZENTA MORTGAGE SERVICES,CHARLOTTE,NORTH CAROLINA,UNITED STATES OF AMERICA,MEXICO,CHARLOTTE,Bachelor's,NORTH CAROLINA,Charlotte,NORTH CAROLINA
ONLINE,23-01-2015,19-08-2015,Certified,,KOCH FOODS OF CINCINNATI LLC,FAIRFIELD,OHIO,UNITED STATES OF AMERICA,SOUTH KOREA,GOYANG,Associate's,,Fairfield,OHIO
ONLINE,01-05-2015,01-05-2015,Withdrawn,E-2,"ARCHWAY PARTNERSHIPS, INC",NORWALK,CONNECTICUT,UNITED STATES OF AMERICA,UNITED KINGDOM,STAMFORD,Bachelor's,CONNECTICUT,Norwalk,CONNECTICUT
ONLINE,05-02-2015,02-09-2015,Certified,H-1B,"BRINK'S, INCORPORATED",RICHMOND,VIRGINIA,UNITED STATES OF AMERICA,INDIA,ROANOKE,Bachelor's,TEXAS,Coppell,TEXAS
ONLINE,16-03-2015,25-09-2015,Certified,H-1B,QUEST DIAGNOSTICS INCORPORATED,MADISON,NEW JERSEY,UNITED STATES OF AMERICA,INDIA,KING OF PRUSSIA,Bachelor's,PENNSYLVANIA,West Norriton,PENNSYLVANIA
ONLINE,13-02-2015,04-09-2015,Certified,,SAIBERSYS INC,CARROLLTON,TEXAS,UNITED STATES OF AMERICA,INDIA,FRISCO,Master's,TEXAS,Carrollton,TEXAS
ONLINE,05-02-2015,27-07-2015,Denied,H-4,CAPSTONE INTERNATIONAL INC.,HOUSTON,TEXAS,UNITED STATES OF AMERICA,CHINA,CYPRESS,Master's,TEXAS,HOUSTON,TEXAS
ONLINE,11-02-2015,10-09-2015,Certified,H-1B,UNIVERSITY OF IOWA,IOWA CITY,IOWA,UNITED STATES OF AMERICA,KENYA,IOWA CITY,Other,IOWA,Iowa City,IOWA
